ticker,name,sector,most_recent_quarter,price_from,roc,earnings_yield,book_market_ratio,roc_rank,earnings_yield_rank,magic_rank
HUBG,"Hub Group, Inc.",Industrials,2022-12-31,2023-03-18,0.4323329161132579,0.1662378759980322,0.5865513460835667,363,102,465
OVV,Ovintiv Inc.,Energy,2022-12-31,2023-03-18,0.3579950060112827,0.28348869816581035,0.9182511737089203,437,30,467
VTRS,Viatris Inc.,Healthcare,2022-12-31,2023-03-18,0.48432789123385855,0.12122225369121933,1.8410392364793216,316,158,474
REZI,"Resideo Technologies, Inc.",Industrials,2022-12-31,2023-03-18,0.45550239234449763,0.13403119298268,1.0252519264967397,339,137,476
VRTV,Veritiv Corporation,Industrials,2022-12-31,2023-03-18,0.37351499543075517,0.21164342520586127,0.4715187742044115,419,59,478
CHK,Chesapeake Energy Corporation,Energy,2022-12-31,2023-03-18,0.3383305242615098,0.29412542048367535,0.9397530178992646,456,25,481
LOPE,"Grand Canyon Education, Inc.",Consumer Defensive,2022-12-31,2023-03-18,1.0491543271100314,0.07240424668110712,0.19102986989188198,106,377,483
IBP,"Installed Building Products, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,0.5932854756608814,0.09599574003716412,0.16904165059776322,246,237,483
CVI,"CVR Energy, Inc.",Energy,2022-12-31,2023-03-18,0.390652557319224,0.18912173294810491,0.177367360644728,404,80,484
MOS,The Mosaic Company,Basic Materials,2022-12-31,2023-03-18,0.33389777577292756,0.2924708983158569,0.8250638199118124,459,26,485
CRK,"Comstock Resources, Inc.",Energy,2022-12-31,2023-03-18,0.3308731196076559,0.2977715140951078,0.7970873786407767,462,23,485
ARLP,"Alliance Resource Partners, L.P.",Energy,2022-12-31,2023-03-18,0.3420636017956786,0.26224636606247315,0.6732237539766702,452,38,490
ELV,"Elevance Health, Inc.",Healthcare,2022-12-31,2023-03-18,1.4175300115112646,0.06509618986615401,0.32941900382149103,62,429,491
STRL,"Sterling Infrastructure, Inc.",Industrials,2022-12-31,2023-03-18,0.49127198049030935,0.11065331257615636,0.42017330083942594,310,183,493
KFRC,Kforce Inc.,Industrials,2022-12-31,2023-03-18,0.6620083724671587,0.08924251475801553,0.15179503916449086,226,269,495
