ticker,sector,country,longName,currency,marketCap,regularMarketPrice,regularMarketTime,bookValue,asOfDate,EBIT,TotalAssets,TotalDebt,LongTermDebtAndCapitalLeaseObligation,CurrentAssets,CurrentLiabilities,NetPPE,CashCashEquivalentsAndShortTermInvestments,MinorityInterest,PreferredStock
1314.TW,Basic Materials,Taiwan,中石化,TWD,37242925056,9.84,2023-12-15 13:30:30,20.589,2023-09-30,-1823798000.0,145018872000.0,53724653000.0,29622806000.0,68817054000.0,28530034000.0,27890160000.0,7848155000.0,113629000.0,
1315.TW,Consumer Cyclical,Taiwan,達新,TWD,6897049088,72.2,2023-12-15 13:30:38,110.055,2023-09-30,458432000.0,11279868000.0,250044000.0,6311000.0,7548091000.0,513950000.0,2065952000.0,6485739000.0,30250000.0,
1316.TW,Real Estate,Taiwan,上曜,TWD,3209653248,12.4,2023-12-15 13:30:26,11.922,2023-09-30,-9319000.0,12400196000.0,5085963000.0,404343000.0,9916243000.0,6186273000.0,1572805000.0,1941150000.0,2819580000.0,
1319.TW,Consumer Cyclical,Taiwan,東陽,TWD,50334691328,85.1,2023-12-15 13:30:22,42.058,2023-09-30,3287552000.0,34261752000.0,3105444000.0,1554784000.0,11402363000.0,6867959000.0,18304039000.0,3376598000.0,457311000.0,
1321.TW,Basic Materials,Taiwan,大洋,TWD,8363961344,37.9,2023-12-15 13:30:04,26.112,2023-09-30,141705000.0,12251323000.0,4426596000.0,3990738000.0,2423857000.0,1091922000.0,3468026000.0,1159227000.0,,
1323.TW,Consumer Cyclical,Taiwan,永裕,TWD,2831036672,31.15,2023-12-15 13:30:37,25.833,2023-09-30,265020000.0,5541778000.0,1865825000.0,1686831000.0,2662361000.0,638997000.0,2507312000.0,1287934000.0,478692000.0,
1324.TW,Consumer Cyclical,Taiwan,地球,TWD,1355952000,18.05,2023-12-15 13:30:06,12.946,2023-09-30,49041000.0,1199874000.0,83315000.0,108000.0,840342000.0,214743000.0,325249000.0,473478000.0,0.0,
1325.TW,Consumer Cyclical,Taiwan,恆大,TWD,2882497792,33.8,2023-12-15 13:30:06,32.239,2023-09-30,39386000.0,3005567000.0,200000.0,157000.0,1791611000.0,53407000.0,1144692000.0,1602313000.0,97467000.0,
1326.TW,Basic Materials,Taiwan,台化,TWD,372582580224,63.7,2023-12-15 13:30:38,57.244,2023-09-30,1918421000.0,564779458000.0,146244146000.0,73748335000.0,216981380000.0,106427878000.0,151695310000.0,125674063000.0,44857316000.0,
1336.TWO,Consumer Cyclical,Taiwan,台翰,TWD,1686705152,21.4,2023-12-15 13:30:24,23.158,2023-09-30,211685000.0,2701217000.0,326851000.0,150565000.0,1265333000.0,533540000.0,1128166000.0,565698000.0,,
1337.TW,Basic Materials,China,再生-KY,TWD,1928407424,7.17,2023-12-15 13:30:14,17.093,2023-09-30,-432395000.0,4766870000.0,,,2315184000.0,106678000.0,2048903000.0,2054596000.0,,
1338.TW,Consumer Cyclical,China,廣華-KY,TWD,3722496000,44.4,2023-12-15 13:30:03,74.538,2023-09-30,35747000.0,11086044000.0,2911212000.0,936436000.0,5648345000.0,3466289000.0,4741950000.0,2507944000.0,328514000.0,
1339.TW,Consumer Cyclical,Taiwan,昭輝,TWD,5151618048,69.5,2023-12-15 13:30:17,51.614,2023-09-30,438988000.0,5346354000.0,858488000.0,479695000.0,1808827000.0,851435000.0,3031320000.0,796090000.0,98326000.0,
1340.TW,Consumer Cyclical,China,勝悅-KY,TWD,1750968448,11.45,2023-12-15 13:30:24,28.344,2023-09-30,-397252000.0,4582977000.0,119770000.0,119770000.0,1597266000.0,127693000.0,1719271000.0,1228526000.0,0.0,
1341.TW,Consumer Cyclical,Vietnam,富林-KY,TWD,3254832128,63.0,2023-12-15 13:30:02,25.234,2023-09-30,356012000.0,2111748000.0,504962000.0,24552000.0,1407254000.0,763338000.0,668434000.0,313275000.0,,
1342.TW,Consumer Cyclical,Taiwan,八貫,TWD,8488222208,119.0,2023-12-15 13:30:21,29.624,2023-09-30,673926000.0,3134877000.0,637970000.0,424864000.0,1957483000.0,596999000.0,1158141000.0,530796000.0,,
1402.TW,Consumer Cyclical,Taiwan,遠東新,TWD,164844666880,30.8,2023-12-15 13:30:27,40.656,2023-09-30,20433404000.0,636410665000.0,263336886000.0,167866451000.0,132986764000.0,151225189000.0,195603813000.0,26623493000.0,63283036000.0,
1409.TW,Consumer Cyclical,Taiwan,新纖,TWD,25335562240,15.7,2023-12-15 13:30:19,22.208,2023-09-30,3144168000.0,188041391000.0,51470704000.0,20302527000.0,121431657000.0,119265945000.0,25422055000.0,19219972000.0,10396845000.0,
1410.TW,Consumer Cyclical,Taiwan,南染,TWD,2378249984,37.75,2023-12-15 13:30:34,16.942,2023-09-30,46928000.0,1331375000.0,1001000.0,77000.0,605084000.0,41834000.0,200603000.0,529053000.0,43027000.0,
1413.TW,Consumer Cyclical,Taiwan,宏洲,TWD,1101814144,8.34,2023-12-15 13:30:31,8.468,2023-09-30,-95281000.0,2542335000.0,923508000.0,597798000.0,686391000.0,601531000.0,1080277000.0,49488000.0,,
1414.TW,Consumer Cyclical,Taiwan,東和,TWD,3872000000,17.6,2023-12-15 13:30:29,14.039,2023-09-30,20692000.0,4594991000.0,744500000.0,,1235355000.0,820070000.0,1518695000.0,716276000.0,,
1416.TW,Technology,Taiwan,廣豐,TWD,2177768448,11.75,2023-12-15 13:30:07,19.76,2023-09-30,159549000.0,4482770000.0,604694000.0,590222000.0,883620000.0,113543000.0,63671000.0,170764000.0,67378000.0,
1417.TW,Consumer Cyclical,Taiwan,嘉裕,TWD,2279303936,12.0,2023-12-15 13:30:14,13.943,2023-09-30,-63443000.0,3905766000.0,827920000.0,256527000.0,2475701000.0,879427000.0,596801000.0,1640256000.0,,
1418.TW,Consumer Cyclical,Taiwan,東華,TWD,1126745728,20.75,2023-12-15 13:30:38,21.261,2023-09-30,92648000.0,4261297000.0,2615698000.0,11816000.0,767677000.0,2619436000.0,719754000.0,753872000.0,11000.0,
1419.TW,Consumer Cyclical,Taiwan,新紡,TWD,14049176576,46.95,2023-12-15 13:30:04,41.586,2023-09-30,827720000.0,17487919000.0,3676225000.0,439072000.0,4572894000.0,3727944000.0,497727000.0,2924975000.0,,
1423.TW,Consumer Cyclical,Taiwan,利華,TWD,3118982400,31.3,2023-12-15 13:30:28,30.737,2023-09-30,122913000.0,3436170000.0,,,1362407000.0,448860000.0,343692000.0,1125142000.0,,
1432.TW,Consumer Cyclical,Taiwan,大魯閣,TWD,1593000064,17.7,2023-12-15 13:30:03,8.744,2023-09-30,122881000.0,5010947000.0,3626156000.0,2699056000.0,1061174000.0,1481980000.0,2740846000.0,553920000.0,11216000.0,
1434.TW,Consumer Cyclical,Taiwan,福懋,TWD,42902986752,25.5,2023-12-15 13:30:17,32.436,2023-09-30,1295256000.0,72864997000.0,14366751000.0,11593538000.0,17213573000.0,5945939000.0,12320663000.0,5810132000.0,,
1435.TW,Industrials,Taiwan,Chung Fu Tex-International Corporation,TWD,3676214016,26.3,2023-04-07 13:30:21,7.017,2023-09-30,-392721000.0,1169402000.0,28000.0,22000.0,462942000.0,9562000.0,88598000.0,456377000.0,,
1436.TW,Real Estate,Taiwan,華友聯,TWD,7642003456,78.0,2023-12-15 13:30:32,28.663,2023-09-30,178447000.0,14435833000.0,10000797000.0,4001445000.0,12093075000.0,7524519000.0,57039000.0,1572920000.0,116436000.0,
1437.TW,Technology,Taiwan,勤益控,TWD,6101130240,30.0,2023-12-15 13:30:13,36.753,2023-09-30,726136000.0,12909387000.0,4306359000.0,735000000.0,2259944000.0,3825889000.0,2426000.0,2040188000.0,950000.0,
1438.TW,Real Estate,Taiwan,三地開發,TWD,2845627392,31.2,2023-12-15 13:30:25,20.918,2023-09-30,51351000.0,9435520000.0,6385907000.0,4152706000.0,5386720000.0,3337692000.0,12324000.0,1046948000.0,,
1439.TW,Consumer Cyclical,Taiwan,雋揚,TWD,2171200000,23.6,2023-12-15 13:30:36,26.212,2023-09-30,158118000.0,5218002000.0,1991961000.0,501642000.0,3067697000.0,1738609000.0,1213000.0,822046000.0,556229000.0,
