ticker,sector,marketCap,asOfDate,currencyCode,TotalDebt,LongTermDebt,CurrentAssets,CurrentLiabilities,NetPPE,EBIT,CashCashEquivalentsAndShortTermInvestments,enterpriseValue,priceToBook
1737.TW,,,2021-12-31,TWD,506547000.0,53082000.0,3394710000.0,1305378000.0,3564003000.0,120050000.0,2083780000.0,,
1752.TW,,,2021-12-31,TWD,521042000.0,37500000.0,1491397000.0,1072954000.0,1682322000.0,54858000.0,418407000.0,,
1760.TW,,,2021-12-31,TWD,502561000.0,116068000.0,1274531000.0,740493000.0,1521351000.0,25724000.0,348890000.0,,
1762.TW,,,2021-12-31,TWD,753553000.0,600000000.0,1357078000.0,635170000.0,1868465000.0,101612000.0,195250000.0,,
1773.TW,,,2022-03-31,TWD,1606260000.0,1067418000.0,3834044000.0,3039141000.0,6381573000.0,599953000.0,297745000.0,,
1776.TW,,,2021-12-31,TWD,417401000.0,165000000.0,1371513000.0,445039000.0,389556000.0,17815000.0,689116000.0,,
1783.TW,,,2021-12-31,TWD,9740000.0,,783553000.0,116068000.0,465453000.0,16609000.0,540177000.0,,
1786.TW,,,2021-12-31,TWD,635369000.0,300000000.0,925242000.0,425639000.0,1245506000.0,33816000.0,695841000.0,,
1789.TW,,,2021-12-31,TWD,557603000.0,,5966529000.0,556314000.0,4648014000.0,68678000.0,4131632000.0,,
1795.TW,,,2021-12-31,TWD,5592691000.0,4667047000.0,8333335000.0,4325941000.0,2641837000.0,395445000.0,1605495000.0,,
1802.TW,,,2021-12-31,TWD,25294608000.0,12581798000.0,45657837000.0,26975232000.0,46653008000.0,3664054000.0,16844045000.0,,
1805.TW,,,2021-12-31,TWD,742040000.0,276030000.0,1310031000.0,555847000.0,46143000.0,-981000.0,87570000.0,,
1806.TW,,,2021-12-31,TWD,627902000.0,0.0,5224523000.0,2655669000.0,3326840000.0,86491000.0,3016786000.0,,
1808.TW,,,2021-12-31,TWD,25638906000.0,8180337000.0,35529894000.0,24367806000.0,366607000.0,683732000.0,6387259000.0,,
1809.TW,,,2021-12-31,TWD,658444000.0,30000000.0,2268326000.0,874647000.0,1802663000.0,15131000.0,878662000.0,,
1810.TW,,,2021-12-31,TWD,2385271000.0,595602000.0,5550655000.0,3107407000.0,3639191000.0,150009000.0,2436812000.0,,
1817.TW,,,2021-12-31,TWD,411954000.0,87810000.0,1444360000.0,602086000.0,1128261000.0,83696000.0,332895000.0,,
