ticker,name,sector,most_recent_quarter,price_from,roc,earnings_yield,book_market_ratio,roc_rank,earnings_yield_rank,magic_rank
9933.TW,中鼎,Industrials,2022-06-30,2022-10-07,0.19167101502229303,0.10698675762168716,0.45437768240343346,95,79,174
3023.TW,信邦,Technology,2022-06-30,2022-10-07,0.3241820440478766,0.05484877001090734,0.1573438596491228,61,116,177
1326.TW,台化,Basic Materials,2022-06-30,2022-10-07,0.18452192756705513,0.10734410654035043,0.9149926578560941,101,78,179
1504.TW,東元,Industrials,2022-06-30,2022-10-07,0.17997501692497317,0.10915294226763968,1.2681574239713775,102,77,179
3702.TW,大聯大,Technology,2022-06-30,2022-10-07,0.09669317086567532,0.16252805261379064,0.921271186440678,127,53,180
8454.TW,富邦媒,Consumer Cyclical,2022-06-30,2022-10-07,0.4100786240840037,0.032494070793804695,0.06706545454545455,47,134,181
1722.TW,台肥,Basic Materials,2022-06-30,2022-10-07,0.23153081014874696,0.07763414348869518,0.9728440366972477,82,100,182
2352.TW,佳世達,Technology,2022-06-30,2022-10-07,0.12113864740293562,0.15212260486465648,0.6409523809523809,122,60,182
1795.TW,美時,Healthcare,2022-06-30,2022-10-07,0.3283674827424714,0.045161293095671656,0.25807142857142856,59,124,183
2308.TW,台達電,Technology,2022-06-30,2022-10-07,0.30564434670848545,0.052171805709048405,0.2276981818181818,64,120,184
9917.TW,中保科,Industrials,2022-06-30,2022-10-07,0.23283524333076316,0.06826830277155865,0.24376767676767677,81,106,187
2356.TW,英業達,Technology,2022-06-30,2022-10-07,0.08999131307215084,0.15404053557864417,0.68,130,57,187
2606.TW,裕民,Industrials,2022-06-30,2022-10-07,0.12781887581496487,0.1299474641604841,0.8593190416141236,119,69,188
1227.TW,佳格,Consumer Defensive,2022-06-30,2022-10-07,0.2003645376392379,0.07773763976214465,0.48046875,92,97,189
2607.TW,榮運,Industrials,2022-06-30,2022-10-07,0.17814630838143294,0.10066292498185486,0.8112121212121212,105,84,189
2633.TW,台灣高鐵,Industrials,2022-06-30,2022-10-07,0.3915267397230646,0.021501821557572128,0.4004553415061296,52,139,191
3653.TW,健策,Technology,2022-06-30,2022-10-07,0.28846340309195057,0.047707647355124345,0.13117084826762246,69,123,192
3665.TW,貿聯-KY,Technology,2022-06-30,2022-10-07,0.18786704717991135,0.08307968752217244,0.43411149825783973,99,95,194
2049.TW,上銀,Industrials,2022-06-30,2022-10-07,0.164613040682973,0.09569403595000589,0.5176875,109,86,195
3406.TW,玉晶光,Technology,2022-06-30,2022-10-07,0.1791691585717422,0.08657888718123642,0.4210330578512397,104,92,196
1590.TW,亞德客-KY,Industrials,2022-06-30,2022-10-07,0.22398763193518098,0.05973320904571615,0.24423355704697988,86,111,197
1434.TW,福懋,Consumer Cyclical,2022-06-30,2022-10-07,0.17986702904291146,0.0804091997936604,1.350922509225092,103,96,199
1717.TW,長興,Basic Materials,2022-06-30,2022-09-28,0.11518936116122343,0.11153281528760418,0.6529925034566872,123,76,199
2206.TW,三陽工業,Consumer Cyclical,2022-06-30,2022-10-07,0.14242412432068113,0.09712265495482286,0.5247281921618205,115,85,200
3105.TWO,穩懋,Technology,2022-06-30,2022-10-07,0.17030338212987142,0.08416343562789606,0.6115984251968504,107,94,201
3707.TWO,漢磊,Technology,2022-06-30,2022-10-07,0.24581019198944196,0.03755266323277025,0.16572307692307695,78,129,207
2201.TW,裕隆,Consumer Cyclical,2022-06-30,2022-10-07,0.026317802374838203,0.12863789272991072,1.166876456876457,143,70,213
4904.TW,遠傳,Communication Services,2022-06-30,2022-10-07,0.22090168879056907,0.0442048826317744,0.26404099560761346,88,126,214
3045.TW,台灣大,Communication Services,2022-06-30,2022-10-07,0.19903440516612586,0.04872784812171538,0.22278969957081543,93,121,214
2610.TW,華航,Industrials,2022-06-30,2022-10-07,0.09352710423617008,0.09486676637592434,0.5846191646191646,128,87,215
2618.TW,長榮航,Industrials,2022-06-30,2022-10-07,0.0897521233829949,0.09390228068668868,0.5637392795883363,131,88,219
